epoch;DSSIM;PSNR;loss;val_DSSIM;val_PSNR;val_loss
0;0.10466825217008591;26.3321475982666;0.0036041128914803267;0.036832571029663086;28.714635848999023;0.0014249670784920454
1;0.04196937009692192;29.649993896484375;0.0012163498904556036;0.024901432916522026;29.755704879760742;0.0011710694525390863
2;0.03390871360898018;30.803804397583008;0.000947286665905267;0.01950151100754738;33.1628303527832;0.000510808196850121
3;0.02953355200588703;31.547653198242188;0.0008073687204159796;0.01760987937450409;32.38325500488281;0.0006304126582108438
4;0.026454752311110497;32.12704849243164;0.0007148555596359074;0.019242292270064354;29.568954467773438;0.0011554398806765676
5;0.024301782250404358;32.57605743408203;0.00065207714214921;0.015579613856971264;34.93095779418945;0.00033823720877990127
6;0.02260672114789486;33.0443229675293;0.0005881714751012623;0.016982687637209892;32.7285270690918;0.0005869375308975577
7;0.02147597447037697;33.293148040771484;0.000565296271815896;0.011981207877397537;33.60311508178711;0.00046596251195296645
8;0.02052062749862671;33.623565673828125;0.0005314183072187006;0.014377431944012642;31.711530685424805;0.0007108920253813267
9;0.0198280680924654;33.83649444580078;0.0005099104600958526;0.01104721613228321;33.11186218261719;0.0005227092187851667
10;0.01759212277829647;34.77705764770508;0.0004260124114807695;0.008817693218588829;33.05112075805664;0.0005271606496535242
11;0.017300443723797798;34.88206100463867;0.0004167281440459192;0.009234979748725891;32.58713912963867;0.0005858973599970341
12;0.0172199085354805;34.95814514160156;0.0004128416767343879;0.010688845068216324;31.937725067138672;0.0006790795014239848
13;0.017024967819452286;35.019554138183594;0.0004060537030454725;0.009766239672899246;32.38112258911133;0.0006214375607669353
14;0.01687137596309185;35.16756820678711;0.0003963438794016838;0.010469700209796429;32.40882873535156;0.0006103800260461867
15;0.016824061051011086;35.224769592285156;0.0003920569724868983;0.010022202506661415;32.97679901123047;0.0005375975160859525
16;0.01691039651632309;35.257110595703125;0.0003892954555340111;0.010904240421950817;33.173851013183594;0.0005079801776446402
17;0.01686391979455948;35.28947448730469;0.00038662421866320074;0.012257932685315609;32.34550476074219;0.0006170152919366956
18;0.01690196618437767;35.315921783447266;0.00038660888094455004;0.010348757728934288;33.07767105102539;0.0005228259251452982
19;0.01689569093286991;35.313926696777344;0.00038303466862998903;0.010305333882570267;33.18190002441406;0.0005101859569549561
20;0.016982870176434517;35.30095291137695;0.000387518695788458;0.011079761199653149;33.04846954345703;0.0005263658240437508
